Identifier,Taxa1,Taxa2,Taxa3
SMGC_1579,Virus,Siphoviridae,Siphoviridae
SMGC_1586,Virus,Siphoviridae,Siphoviridae
SMGC_1589,Virus,Siphoviridae,Siphoviridae
SMGC_1598,Virus,Siphoviridae,Siphoviridae
SMGC_1591,Virus,Siphoviridae,Siphoviridae
SMGC_1588,Virus,Siphoviridae,Siphoviridae
SMGC_1599,Virus,Siphoviridae,Siphoviridae
SMGC_1590,Virus,Siphoviridae,Siphoviridae
SMGC_1592,Virus,Myoviridae,Myoviridae
SMGC_1593,Virus,Other,Other
SMGC_1594,Virus,Siphoviridae,Siphoviridae
SMGC_1595,Virus,Other,Other
SMGC_1596,Virus,Myoviridae,Myoviridae
SMGC_1585,Virus,Other,Other
SMGC_1587,Virus,Siphoviridae,Siphoviridae
SMGC_1597,Virus,Myoviridae,Myoviridae
SMGC_1604,Virus,Siphoviridae,Siphoviridae
SMGC_1600,Virus,Siphoviridae,Siphoviridae
SMGC_1601,Virus,Siphoviridae,Siphoviridae
SMGC_1605,Virus,Siphoviridae,Siphoviridae
SMGC_1603,Virus,Siphoviridae,Siphoviridae
SMGC_1602,Virus,Other,Other
SMGC_1607,Virus,Siphoviridae,Siphoviridae
SMGC_1606,Virus,Siphoviridae,Siphoviridae
SMGC_1608,Virus,Myoviridae,Myoviridae
SMGC_1610,Virus,Myoviridae,Myoviridae
SMGC_1609,Virus,Siphoviridae,Siphoviridae
SMGC_1612,Virus,Siphoviridae,Siphoviridae
SMGC_1611,Virus,Siphoviridae,Siphoviridae
SMGC_1613,Virus,Podoviridae,Podoviridae
SMGC_1614,Virus,Siphoviridae,Siphoviridae
SMGC_1615,Virus,Siphoviridae,Siphoviridae
SMGC_1616,Virus,Siphoviridae,Siphoviridae
SMGC_1620,Virus,Siphoviridae,Siphoviridae
SMGC_1618,Virus,Other,Other
SMGC_1619,Virus,Siphoviridae,Siphoviridae
SMGC_1617,Virus,Siphoviridae,Siphoviridae
SMGC_1621,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_1623,Virus,Other,Other
SMGC_1622,Virus,Other,Other
SMGC_1624,Virus,Myoviridae,Myoviridae
SMGC_1625,Virus,Siphoviridae,Siphoviridae
