feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG47	ST	4603	0.00145199080793804	0.00619693361657158	1346	1346	0.814783645977162	0.926718248314154
KEGG16	ST	30	0.000929999965627196	0.00404223927206925	1346	1346	0.818391473885449	0.92672315757713
KEGG18	ST	45	0.000968053950414405	0.0042517033108673	1346	1346	0.82014096206631	0.92672315757713
KEGG258	ST	121	-0.0204698069006018	0.0892230841011319	1346	1344	0.818786999035025	0.92672315757713
KEGG287	ST	97	0.0065600767854645	0.0283955934321323	1346	1346	0.817336500567946	0.92672315757713
KEGG42	ST	5	-0.000968008632000078	0.00421443635589767	1346	1346	0.818756963104619	0.92672315757713
KEGG6	ST	8	-0.0011401811180732	0.00497459233749459	1346	1346	0.818966555073427	0.92672315757713
KEGG75	ST	2990	-0.0102110029287274	0.0448395904885881	1346	1346	0.819898361521128	0.92672315757713
KEGG95	ST	582	-0.00697524870301843	0.0301680959682151	1346	1346	0.817434374402541	0.92672315757713
KEGG81	ST	109	-0.00954032457521057	0.0420533560007905	1346	1346	0.820776848771112	0.926761240101791
KEGG21	ST	4603	0.00270443192858122	0.0120921524595964	1346	1346	0.823064930112283	0.928663436541645
KEGG75	ST	7	-0.00469611938826245	0.0210815942848771	1346	1346	0.823764151889597	0.928771450372227
KEGG46	ST	398	-0.00361107693060112	0.016291946062534	1346	1346	0.824719505321446	0.929167876053957
KEGG35	ST	45	0.000934707403597474	0.0042686317293783	1346	1346	0.82694455506208	0.930993175011369
KEGG258	ST	15	-0.00334131443262585	0.0155843699576323	1346	1344	0.830270454597889	0.934054261422625
KEGG51	ST	188	0.0062873422028365	0.0294220655097969	1346	1346	0.831019594096001	0.934214138286155
KEGG55	ST	5	-0.000578866084237297	0.0027591285982196	1346	1346	0.833885508708895	0.936115325311876
KEGG68	ST	5	-0.000578665007814881	0.00275887419139372	1346	1346	0.833927297597519	0.936115325311876
KEGG191	ST	2990	-0.0172616069961553	0.083854728986731	1346	1324	0.836943958172615	0.938379589085083
KEGG3	ST	109	0.00251831907059192	0.0122883001785508	1346	1346	0.83788577484283	0.938379589085083
KEGG61	ST	45	0.000867638978526949	0.00423481218859367	1346	1346	0.837910499758463	0.938379589085083
KEGG95	ST	5	-0.00262176694458811	0.0128481377371915	1346	1346	0.83838332358154	0.938379589085083
KEGG287	ST	7	0.00618742539752001	0.0308061902126897	1346	1346	0.840855097811556	0.938416240414782
KEGG55	ST	398	0.00142853136901276	0.00708111107116799	1346	1346	0.840177190130903	0.938416240414782
KEGG68	ST	398	0.00142707565070045	0.0070804885764495	1346	1346	0.840324029596724	0.938416240414782
KEGG81	ST	582	-0.00608143762682955	0.0300646306757092	1346	1346	0.839917362221289	0.938416240414782
KEGG258	ST	582	-0.0103034041904738	0.0524441719843003	1346	1344	0.844457118059983	0.941080943235052
KEGG44	ST	398	-0.00265309487762412	0.0135149684184708	1346	1346	0.844465745683955	0.941080943235052
KEGG109	ST	6	-0.00522964155769558	0.0282142913636037	1346	1344	0.853021098383329	0.941787480905896
KEGG16	ST	2990	0.00277354537616758	0.014711948363547	1346	1346	0.850558626621449	0.941787480905896
KEGG17	ST	7	-0.00131133465291922	0.00686953300512779	1346	1346	0.848683669360071	0.941787480905896
KEGG258	ST	109	-0.0137780404211892	0.0734158491074993	1346	1344	0.851332104715648	0.941787480905896
KEGG39	ST	45	0.00100959266287588	0.00541642624145271	1346	1346	0.852315263443161	0.941787480905896
KEGG53	ST	4603	0.00167715190946733	0.00886844690611812	1346	1346	0.850035179547171	0.941787480905896
KEGG62	ST	4603	0.00167665959816046	0.0088689370711585	1346	1346	0.850086865921983	0.941787480905896
KEGG66	ST	7	-0.00118301285413209	0.00618360348939468	1346	1346	0.848407972199128	0.941787480905896
KEGG75	ST	8	-0.00210379428035741	0.0113370442575525	1346	1346	0.853055067175321	0.941787480905896
KEGG83	ST	398	0.00202560511225853	0.0103891310769587	1346	1346	0.849031283511207	0.941787480905896
